,dummies,value,type
78,1,821.8492817176913,gaussian
79,1,1391.3358003915164,triangular
80,1,1522.8678623218698,uniform
81,1,336.45142078073764,poisson
82,1,366.91500230474827,gaussian
83,1,1073.762229138991,triangular
84,1,136.6378624254733,uniform
85,1,1010.4849135921903,poisson
86,1,499.89651194370583,gaussian
87,1,695.4541634147422,triangular
88,1,1183.3829822269754,uniform
89,1,338.7407008835505,poisson
90,1,251.25435379586864,gaussian
91,1,752.8275621412249,triangular
92,1,517.6287800274974,uniform
93,1,1180.069401197412,poisson
94,1,988.2686945312353,gaussian
95,1,1212.7107331853852,triangular
96,1,1466.9579846463262,uniform
97,1,1174.750814773933,poisson
98,1,932.9203122108343,gaussian
99,1,697.2998010264254,triangular
100,1,106.95935221754799,uniform
101,1,336.05190252726067,poisson
102,1,965.3147918483188,gaussian
103,1,1672.1649344186196,triangular
104,1,124.33319004322499,uniform
105,1,1356.9369049059276,poisson
106,1,651.8678984415766,gaussian
107,1,877.625175346915,triangular
108,1,1551.1390419890067,uniform
109,1,337.46501091263326,poisson
110,1,126.77328250625894,gaussian
111,1,868.8250500318258,triangular
112,1,1589.4698356882404,uniform
113,1,673.4128950528539,poisson
114,1,987.3480046612227,gaussian
115,1,906.5362073682279,triangular
116,1,1723.084651018007,uniform
117,1,675.7720734364551,poisson
118,1,766.6574733022211,gaussian
119,1,345.1215930380293,triangular
120,1,1091.5907099711787,uniform
121,1,680.1396868133538,poisson
122,1,884.4100060412749,gaussian
123,1,677.6825338688877,triangular
124,1,897.8545818537491,uniform
125,1,1011.3612019990761,poisson
126,1,256.3329146614141,gaussian
127,1,465.73077394820564,triangular
128,1,482.699898175322,uniform
129,1,335.6396458742368,poisson
130,1,565.0077820469573,gaussian
131,1,1693.8833719101572,triangular
132,1,117.26490299256595,uniform
133,1,677.3297454514054,poisson
134,1,124.15497222924282,gaussian
135,1,975.1058030049677,triangular
136,1,854.4446995763799,uniform
137,1,680.1131035956499,poisson
138,1,1336.2535680158453,gaussian
139,1,615.1538497312405,triangular
140,1,132.23609575719175,uniform
141,1,505.09168221420197,poisson
142,1,1099.7550722962555,gaussian
143,1,1253.0273084001346,triangular
144,1,1647.40461868087,uniform
145,1,1019.1831955149382,poisson
146,1,729.1966798814733,gaussian
147,1,1325.6869694499944,triangular
148,1,1586.3532868964612,uniform
149,1,676.3762676624326,poisson
150,1,1966.362565381592,gaussian
151,1,784.3873420649652,triangular
152,1,1651.4519660594806,uniform
153,1,671.4141016582504,poisson
154,1,918.2450941584239,gaussian
155,1,1049.8517372286058,triangular
156,1,271.15351162487497,uniform
157,1,339.8840386401043,poisson
158,1,631.5615913037996,gaussian
159,1,1247.1673019138834,triangular
160,1,185.97307791885092,uniform
161,1,337.09713607898647,poisson
162,1,1140.6863215773308,gaussian
163,1,1359.2239425620114,triangular
164,1,1290.1721714078035,uniform
165,1,1008.052508251957,poisson
166,1,625.1020315619929,gaussian
167,1,1302.7772303535494,triangular
168,1,1875.9916473074768,uniform
169,1,507.69776744481345,poisson
170,1,838.2006094377684,gaussian
171,1,1366.2910255864367,triangular
172,1,306.6446104266071,uniform
173,1,671.8298397099109,poisson
174,1,41.720119959184004,gaussian
175,1,947.5128055446716,triangular
176,1,466.7744065438549,uniform
177,1,1011.9577879454552,poisson
178,1,61.981247438582685,gaussian
179,1,1168.1899090355255,triangular
180,1,1348.542883870018,uniform
181,1,849.7524417686197,poisson
182,1,689.5344299963565,gaussian
183,1,798.160450067778,triangular
184,1,895.0520269151817,uniform
185,1,169.07123380718946,poisson
186,1,56.7410974674501,gaussian
187,1,722.9876655208069,triangular
188,1,898.8178526506995,uniform
189,1,843.3639942960366,poisson
190,1,237.1201837657814,gaussian
191,1,567.9281892881372,triangular
192,1,1459.0635721386707,uniform
193,1,1517.3407690147922,poisson
