,dummies,value,type
130,5,464.3964501897005,gaussian
131,5,380.8201004655731,triangular
132,6,305.0409522821437,uniform
133,6,178.25902772965506,poisson
134,6,203.98305164600902,gaussian
135,6,322.94868803668106,triangular
136,7,617.1073283328775,uniform
137,7,185.29384262883696,poisson
138,7,262.82592287525307,gaussian
139,7,342.81037729040133,triangular
140,8,498.71171789994605,uniform
141,8,222.20512295118345,poisson
142,8,81.38559728842154,gaussian
143,8,476.0996459510398,triangular
144,9,141.18083174845495,uniform
145,9,326.5742577060279,poisson
146,9,57.680717569790914,gaussian
147,9,370.733998786685,triangular
148,10,265.9886657039044,uniform
149,10,182.2087723446822,poisson
150,10,196.27197528775878,gaussian
151,10,210.6258685862037,triangular
152,11,669.9447548076723,uniform
153,11,65.43511360496332,poisson
154,11,167.65021786813023,gaussian
155,11,260.10188582128507,triangular
156,12,223.009461040138,uniform
157,12,282.556232633743,poisson
158,12,363.2118806762684,gaussian
159,12,436.6432980327522,triangular
160,13,347.65097351742753,uniform
161,13,221.80840052522146,poisson
162,13,22.45606663783156,gaussian
163,13,721.482348589243,triangular
164,14,205.8108641510026,uniform
165,14,260.38664601573606,poisson
166,14,26.609582731058822,gaussian
167,14,292.9905814862195,triangular
168,15,249.6109248973992,uniform
169,15,91.26663406189789,poisson
170,15,171.24973291816406,gaussian
171,15,262.94985993669025,triangular
172,16,272.57833516973733,uniform
173,16,154.7465307184819,poisson
174,16,34.1799202058671,gaussian
175,16,324.7613771779798,triangular
176,17,332.0768072824871,uniform
177,17,152.22668419444003,poisson
178,17,190.94765776262574,gaussian
179,17,39.16737765780854,triangular
180,18,97.24493504316584,uniform
181,18,43.425468875649116,poisson
182,18,200.61564482831,gaussian
183,18,98.25653678350014,triangular
184,19,227.20168708380731,uniform
185,19,201.12549019580325,poisson
186,19,138.4282288287888,gaussian
187,19,345.0679207586598,triangular
188,20,150.47524320245606,uniform
189,20,236.7226144291768,poisson
190,20,205.21686589358077,gaussian
191,20,180.17607171639216,triangular
192,21,59.3697270530698,uniform
193,21,36.69990064764061,poisson
194,21,151.45878871620278,gaussian
195,21,374.68836217372063,triangular
196,22,171.77801225849416,uniform
197,22,136.7165464398668,poisson
198,22,122.79068588094871,gaussian
199,22,87.64401143233464,triangular
200,23,145.4625516265019,uniform
201,23,187.39956189216048,poisson
202,23,109.91037232621126,gaussian
203,23,164.12159432057277,triangular
204,24,265.3071974563144,uniform
205,24,199.14419056879433,poisson
206,24,30.476788921495228,gaussian
207,24,134.06100847643214,triangular
208,25,345.23157508985497,uniform
209,25,305.3529413704795,poisson
210,25,32.11944866636222,gaussian
211,25,362.5759825247084,triangular
212,26,111.68216681213964,uniform
213,26,127.1161009627835,poisson
214,26,56.06031874054719,gaussian
215,26,105.26565978141046,triangular
216,27,318.1082921344069,uniform
217,27,198.47954108268118,poisson
218,27,240.8489676553243,gaussian
219,27,143.98461372473932,triangular
220,28,333.48232216915807,uniform
221,28,261.38509210615996,poisson
222,28,127.69290020228313,gaussian
223,28,149.68945282241987,triangular
224,29,143.41798500532988,uniform
225,29,52.65271585471836,poisson
226,29,112.32946157231022,gaussian
227,29,179.61569553993576,triangular
228,30,172.92356054728396,uniform
229,30,188.9537953307984,poisson
230,30,271.4097898894492,gaussian
231,30,175.90047310576185,triangular
232,2,1043.309178217052,uniform
233,2,467.8360576807551,poisson
234,2,758.1783199846057,gaussian
235,2,569.917242029351,triangular
236,3,553.7641999889656,uniform
237,3,263.1025775666069,poisson
238,3,693.4709781012202,gaussian
239,3,885.1664661903014,triangular
240,4,348.6893737757734,uniform
241,4,495.99700690829593,poisson
242,4,42.21037343869299,gaussian
243,4,253.9891785408676,triangular
244,5,295.8351334778014,uniform
245,5,132.85193802416495,poisson
246,5,392.3593558513465,gaussian
247,5,588.0891542915263,triangular
248,6,767.9109825576412,uniform
249,6,277.4901410363168,poisson
250,6,137.9271677501832,gaussian
251,6,452.5044358647481,triangular
252,7,194.66315394637587,uniform
253,7,136.2787881573018,poisson
254,7,28.961562182503837,gaussian
255,7,171.5550082841497,triangular
256,8,386.7507932725,uniform
257,8,309.38945249383386,poisson
258,8,78.74189465250868,gaussian
259,8,505.03021401542105,triangular
260,9,517.3739134092865,uniform
261,9,320.52171962433476,poisson
262,9,157.01834081830904,gaussian
263,9,481.47352287745053,triangular
264,10,301.5753222219817,uniform
265,10,294.0221517285294,poisson
266,10,232.75619957276197,gaussian
267,10,388.72567463681634,triangular
268,11,37.01475447279593,uniform
269,11,157.42764418660255,poisson
270,11,219.351236934568,gaussian
271,11,686.0189948171044,triangular
272,12,171.7820743607848,uniform
273,12,169.18514175003813,poisson
274,12,328.423640034652,gaussian
275,12,416.18556932892864,triangular
276,13,207.5240836472561,uniform
277,13,254.82351281969383,poisson
278,13,37.84159271150688,gaussian
279,13,222.4847287432091,triangular
280,14,534.1842479858308,uniform
281,14,233.8372007021947,poisson
282,14,128.3625133746438,gaussian
283,14,188.26735985882235,triangular
284,15,658.6505509215725,uniform
285,15,164.8541481326265,poisson
286,15,139.37047766929044,gaussian
287,15,146.56869586055993,triangular
288,16,77.06348741369803,uniform
289,16,305.7332887028973,poisson
290,16,158.31857132431418,gaussian
291,16,140.55862919467748,triangular
292,17,153.0406836845006,uniform
293,17,339.6333819072657,poisson
294,17,164.23505895276304,gaussian
295,17,163.22167880881273,triangular
296,18,112.51964236834381,uniform
297,18,164.30653878943218,poisson
298,18,166.8924067237433,gaussian
299,18,67.30518282279277,triangular
300,19,246.05562303938117,uniform
301,19,389.03911314718016,poisson
302,19,149.05927843944318,gaussian
303,19,139.98236693998683,triangular
304,20,72.97778212894207,uniform
305,20,305.83648850248886,poisson
306,20,37.99056664803168,gaussian
307,20,168.56542858861962,triangular
308,21,74.65629770947753,uniform
309,21,53.81385449040704,poisson
310,21,37.483504641252686,gaussian
311,21,196.37444525499623,triangular
312,22,366.87739496178835,uniform
313,22,99.94789270818454,poisson
